"CODES","DESCRIPTION","YEAR","UNIT_1_CODES","UNIT_1_DESCRIPTION","UNIT_2_CODES","UNIT_2_DESCRIPTION",
01012100,"Live pure-bred breeding horses",2015,09,"Kilogram",01,"Number of item",
01012900,"Live horses, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01013010,"Live pure-bred breeding asses",2015,09,"Kilogram",01,"Number of item",
01013090,"Live asses, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01019000,"Live mules and hinnies",2015,09,"Kilogram",01,"Number of item",
01022100,"Live pure-bred breeding cattles",2015,09,"Kilogram",01,"Number of item",
01022900,"Live cattles, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01023100,"Live pure-bred breeding buffaloes",2015,09,"Kilogram",01,"Number of item",
01023900,"Live buffaloes, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01029010,"Other live pure-bred breeding bovine animals",2015,09,"Kilogram",01,"Number of item",
01029090,"Other live bovine animals, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01031000,"Live pure-bred breeding swine",2015,09,"Kilogram",01,"Number of item",
01039110,"Live swine wt.£¼10kg, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01039120,"Live swine 10kg¡Üwt.£¼50kg, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01039200,"Live swine wt.¡Ý50kg, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01041010,"Live pure-bred breeding sheep",2015,09,"Kilogram",01,"Number of item",
01041090,"Live sheep, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01042010,"Live pure-bred breeding goats",2015,09,"Kilogram",01,"Number of item",
01042090,"Live goats, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01051110,"Live chicken¡Ü185g for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01051190,"Live chicken¡Ü185g, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01051210,"Live turkeys¡Ü185g, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01051290,"Live turkeys¡Ü185g, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01051310,"Live ducks¡Ü185g for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01051390,"Live ducks¡Ü185g, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01051410,"Live geese¡Ü185g for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01051490,"Live geese¡Ü185g, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01051510,"Live guinea fowls¡Ü185g for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01051590,"Live guinea fowls¡Ü185g, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01059410,"Live chicken£¾185g, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01059490,"Live chicken£¾185g, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01059910,"Live ducks,geese,turkeys&guinea fowls£¾185g for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01059991,"Live ducks£¾185g, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01059992,"Live geese£¾185g, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01059993,"Live guinea fowls£¾185g, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01059994,"Live turkeys£¾185g, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01061110,"Primates, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01061190,"Primates, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01061211,"Whales,dolphins,propoises,manatees&dugongs,for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01061219,"Whales,dolphins,propoises,manatees&dugongs,not for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01061221,"Seals,sea lions&walruses, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01061229,"Seals,sea lions&walruses, not for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01061310,"Camels&other camelids, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01061390,"Camels&other camelids, not for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01061410,"Rabbits&hares, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01061490,"Rabbits&hares, not for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01061910,"Other mammals, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01061990,"Other edible mammals, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01062011,"Crocodiles for cultivation, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01062019,"Other reptiles, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01062020,"Edible reptiles",2015,09,"Kilogram",01,"Number of item",
01062090,"Reptiles, nes",2015,09,"Kilogram",01,"Number of item",
01063110,"Birds of prey, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01063190,"Other birds of prey, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01063210,"Psittaciformes, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01063290,"Other psittaciformes, not pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01063310,"Ostriches&emus, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01063390,"Ostriches&emus, not for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01063910,"Other birds, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01063921,"Squabs, edible",2015,09,"Kilogram",01,"Number of item",
01063923,"Teals, edible",2015,09,"Kilogram",01,"Number of item",
01063929,"Other birds, edible",2015,09,"Kilogram",01,"Number of item",
01063990,"Birds, nes",2015,09,"Kilogram",01,"Number of item",
01064110,"Bees for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01064190,"Bees, not for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
01064910,"Other insects, for pure-bred breeding",2015,09,"Kilogram",01,"Number of item",
